List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,28.6%,54.3%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,6.7%,40.0%
r13,40.0%,40.0%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,6.7%
r24,7.5%,37.5%
r32,0.0%,0.0%
r16,0.0%,0.0%
r28,33.3%,0.0%
r25,30.0%,3.3%
r23,0.0%,11.1%
r18,3.3%,10.0%
r11,15.6%,22.2%
r27,96.0%,96.0%
r5,5.0%,0.0%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,83.3%,83.3%
r1,36.7%,26.7%
r30,26.7%,13.3%
r22,2.4%,2.4%
r26,0.0%,0.0%
r9,27.3%,0.0%
r14,57.8%,37.8%
r2,15.0%,2.5%
r20,20.0%,50.0%
r15,10.0%,26.7%
Total,25.0%,26.3%
