List,gaussian_mixture,kmeans
r31,66.7%,50.0%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,28.6%,0.0%
r4,0.0%,10.0%
r33,0.0%,100.0%
r12,3.3%,0.0%
r13,40.0%,37.1%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,7.5%,5.0%
r32,0.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,24.4%
r25,30.0%,3.3%
r23,0.0%,5.6%
r18,3.3%,23.3%
r11,15.6%,20.0%
r27,96.0%,96.0%
r5,5.0%,27.5%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,83.3%,83.3%
r1,36.7%,26.7%
r30,26.7%,33.3%
r22,2.4%,19.0%
r26,0.0%,0.0%
r9,27.3%,0.0%
r14,57.8%,35.6%
r2,15.0%,30.0%
r20,20.0%,35.0%
r15,10.0%,0.0%
Total,24.9%,31.1%
