List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,25.0%,75.0%
r34,34.3%,28.6%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,6.7%,3.3%
r13,40.0%,40.0%
r6,74.3%,74.3%
r29,9.6%,32.7%
r3,6.7%,6.7%
r24,7.5%,15.0%
r32,96.7%,96.7%
r16,30.0%,30.0%
r28,33.3%,33.3%
r25,3.3%,3.3%
r23,5.6%,11.1%
r18,13.3%,13.3%
r11,48.9%,17.8%
r27,100.0%,100.0%
r5,42.5%,45.0%
r17,13.3%,10.0%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,70.0%,13.3%
r30,3.3%,20.0%
r22,9.5%,4.8%
r26,40.0%,40.0%
r9,100.0%,0.0%
r14,44.4%,51.1%
r2,30.0%,30.0%
r20,0.0%,75.0%
r15,10.0%,66.7%
Total,34.3%,36.0%
