List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,0.0%,0.0%
r10,0.0%,60.0%
r21,0.0%,0.0%
r34,57.1%,60.0%
r4,0.0%,0.0%
r33,85.7%,100.0%
r12,33.3%,16.7%
r13,5.7%,2.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,13.3%,0.0%
r28,24.4%,24.4%
r25,10.0%,3.3%
r23,0.0%,0.0%
r18,20.0%,16.7%
r11,22.2%,20.0%
r27,96.0%,96.0%
r5,0.0%,25.0%
r17,6.7%,0.0%
r19,100.0%,0.0%
r8,0.0%,93.3%
r1,60.0%,70.0%
r30,13.3%,10.0%
r22,9.5%,9.5%
r26,13.3%,0.0%
r9,0.0%,0.0%
r14,51.1%,51.1%
r2,45.0%,47.5%
r20,5.0%,27.5%
r15,0.0%,26.7%
Total,28.5%,32.8%
