List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,0.0%,25.0%
r34,11.4%,20.0%
r4,10.0%,20.0%
r33,100.0%,100.0%
r12,3.3%,20.0%
r13,57.1%,51.4%
r6,45.7%,20.0%
r29,50.0%,34.6%
r3,20.0%,0.0%
r24,10.0%,2.5%
r32,96.7%,96.7%
r16,16.7%,33.3%
r28,75.6%,100.0%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,30.0%,6.7%
r11,31.1%,48.9%
r27,96.0%,96.0%
r5,25.0%,12.5%
r17,23.3%,3.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,70.0%,70.0%
r30,10.0%,16.7%
r22,7.1%,2.4%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,37.8%,13.3%
r2,30.0%,30.0%
r20,47.5%,75.0%
r15,10.0%,0.0%
Total,40.1%,40.5%
