List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,100.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,54.3%,0.0%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,57.1%,28.6%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,0.0%,73.3%
r24,7.5%,17.5%
r32,0.0%,100.0%
r16,76.7%,76.7%
r28,24.4%,0.0%
r25,20.0%,70.0%
r23,16.7%,0.0%
r18,0.0%,20.0%
r11,24.4%,31.1%
r27,96.0%,0.0%
r5,30.0%,30.0%
r17,10.0%,6.7%
r19,100.0%,100.0%
r8,0.0%,86.7%
r1,0.0%,0.0%
r30,46.7%,6.7%
r22,2.4%,2.4%
r26,40.0%,20.0%
r9,13.6%,31.8%
r14,64.4%,68.9%
r2,45.0%,45.0%
r20,65.0%,0.0%
r15,30.0%,30.0%
Total,34.2%,34.1%
