List,gaussian_mixture,kmeans
r31,66.7%,50.0%
r7,100.0%,100.0%
r10,40.0%,40.0%
r21,25.0%,0.0%
r34,5.7%,60.0%
r4,0.0%,0.0%
r33,100.0%,14.3%
r12,3.3%,6.7%
r13,34.3%,11.4%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,6.7%,73.3%
r24,5.0%,10.0%
r32,100.0%,100.0%
r16,0.0%,70.0%
r28,24.4%,75.6%
r25,60.0%,6.7%
r23,22.2%,0.0%
r18,23.3%,16.7%
r11,13.3%,2.2%
r27,96.0%,96.0%
r5,0.0%,7.5%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,73.3%,70.0%
r30,13.3%,36.7%
r22,9.5%,9.5%
r26,6.7%,13.3%
r9,0.0%,9.1%
r14,48.9%,42.2%
r2,30.0%,50.0%
r20,17.5%,35.0%
r15,0.0%,0.0%
Total,34.9%,31.9%
