List,gaussian_mixture,kmeans
r31,16.7%,66.7%
r7,100.0%,0.0%
r10,0.0%,20.0%
r21,25.0%,0.0%
r34,54.3%,57.1%
r4,10.0%,10.0%
r33,0.0%,0.0%
r12,13.3%,0.0%
r13,42.9%,11.4%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,27.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,33.3%
r25,3.3%,13.3%
r23,0.0%,0.0%
r18,23.3%,6.7%
r11,13.3%,17.8%
r27,96.0%,96.0%
r5,25.0%,2.5%
r17,60.0%,0.0%
r19,0.0%,100.0%
r8,96.7%,93.3%
r1,0.0%,76.7%
r30,26.7%,40.0%
r22,2.4%,4.8%
r26,33.3%,6.7%
r9,31.8%,22.7%
r14,62.2%,57.8%
r2,20.0%,47.5%
r20,40.0%,0.0%
r15,0.0%,0.0%
Total,30.4%,31.0%
