List,gaussian_mixture,kmeans
r31,33.3%,16.7%
r7,100.0%,100.0%
r10,0.0%,0.0%
r21,75.0%,0.0%
r34,80.0%,80.0%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,23.3%,40.0%
r13,48.6%,48.6%
r6,97.1%,91.4%
r29,0.0%,100.0%
r3,20.0%,6.7%
r24,7.5%,2.5%
r32,96.7%,0.0%
r16,50.0%,50.0%
r28,42.2%,42.2%
r25,83.3%,6.7%
r23,22.2%,11.1%
r18,3.3%,13.3%
r11,73.3%,22.2%
r27,100.0%,100.0%
r5,0.0%,55.0%
r17,40.0%,36.7%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,0.0%,0.0%
r30,20.0%,0.0%
r22,2.4%,2.4%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,57.8%,6.7%
r2,32.5%,52.5%
r20,20.0%,20.0%
r15,0.0%,0.0%
Total,37.7%,38.5%
