List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,100.0%,100.0%
r10,40.0%,0.0%
r21,0.0%,0.0%
r34,0.0%,5.7%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,43.3%,43.3%
r13,94.3%,94.3%
r6,54.3%,97.1%
r29,100.0%,0.0%
r3,6.7%,6.7%
r24,5.0%,15.0%
r32,0.0%,0.0%
r16,50.0%,33.3%
r28,57.8%,0.0%
r25,83.3%,83.3%
r23,11.1%,33.3%
r18,3.3%,16.7%
r11,73.3%,73.3%
r27,4.0%,96.0%
r5,2.5%,55.0%
r17,30.0%,13.3%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,96.7%
r30,3.3%,20.0%
r22,21.4%,9.5%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,22.2%,0.0%
r2,32.5%,32.5%
r20,20.0%,20.0%
r15,93.3%,93.3%
Total,42.2%,42.6%
