List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,73.3%,26.7%
r10,0.0%,40.0%
r21,100.0%,100.0%
r34,22.9%,22.9%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,10.0%,3.3%
r13,40.0%,40.0%
r6,45.7%,37.1%
r29,38.5%,38.5%
r3,6.7%,6.7%
r24,12.5%,12.5%
r32,100.0%,0.0%
r16,3.3%,46.7%
r28,24.4%,75.6%
r25,80.0%,80.0%
r23,22.2%,5.6%
r18,6.7%,23.3%
r11,48.9%,42.2%
r27,100.0%,96.0%
r5,12.5%,45.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,80.0%,0.0%
r1,70.0%,70.0%
r30,3.3%,23.3%
r22,4.8%,9.5%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,44.4%,31.1%
r2,30.0%,22.5%
r20,20.0%,72.5%
r15,86.7%,86.7%
Total,40.4%,39.6%
