List,gaussian_mixture,kmeans
r31,66.7%,83.3%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,100.0%,0.0%
r34,37.1%,31.4%
r4,20.0%,40.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,42.9%,51.4%
r6,97.1%,97.1%
r29,76.9%,76.9%
r3,6.7%,20.0%
r24,10.0%,20.0%
r32,96.7%,96.7%
r16,50.0%,36.7%
r28,75.6%,42.2%
r25,83.3%,3.3%
r23,22.2%,0.0%
r18,20.0%,20.0%
r11,22.2%,24.4%
r27,100.0%,96.0%
r5,10.0%,7.5%
r17,30.0%,33.3%
r19,0.0%,100.0%
r8,6.7%,0.0%
r1,66.7%,20.0%
r30,3.3%,6.7%
r22,2.4%,4.8%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,22.2%
r2,50.0%,55.0%
r20,0.0%,0.0%
r15,30.0%,26.7%
Total,44.4%,40.5%
