List,gaussian_mixture,kmeans
r31,0.0%,83.3%
r7,76.7%,23.3%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,17.1%,37.1%
r4,20.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,40.0%
r6,91.4%,91.4%
r29,78.8%,44.2%
r3,13.3%,20.0%
r24,5.0%,7.5%
r32,96.7%,96.7%
r16,6.7%,40.0%
r28,66.7%,42.2%
r25,83.3%,83.3%
r23,5.6%,11.1%
r18,13.3%,20.0%
r11,22.2%,24.4%
r27,100.0%,100.0%
r5,25.0%,42.5%
r17,13.3%,13.3%
r19,0.0%,0.0%
r8,3.3%,0.0%
r1,70.0%,70.0%
r30,36.7%,6.7%
r22,4.8%,4.8%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,22.2%,42.2%
r2,25.0%,30.0%
r20,75.0%,75.0%
r15,23.3%,50.0%
Total,42.5%,43.3%
