List,gaussian_mixture,kmeans
r31,100.0%,50.0%
r7,76.7%,23.3%
r10,40.0%,0.0%
r21,100.0%,0.0%
r34,45.7%,28.6%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,40.0%,48.6%
r6,94.3%,91.4%
r29,44.2%,36.5%
r3,20.0%,13.3%
r24,2.5%,12.5%
r32,96.7%,96.7%
r16,23.3%,26.7%
r28,100.0%,57.8%
r25,80.0%,80.0%
r23,5.6%,22.2%
r18,23.3%,3.3%
r11,24.4%,42.2%
r27,96.0%,100.0%
r5,25.0%,15.0%
r17,13.3%,10.0%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,70.0%,70.0%
r30,3.3%,3.3%
r22,4.8%,2.4%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,37.8%,6.7%
r2,95.0%,52.5%
r20,47.5%,20.0%
r15,80.0%,0.0%
Total,50.7%,39.4%
