List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,0.0%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,40.0%,36.7%
r13,28.6%,8.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,6.7%,6.7%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,37.8%,35.6%
r25,23.3%,53.3%
r23,0.0%,0.0%
r18,26.7%,20.0%
r11,4.4%,15.6%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,3.3%,3.3%
r19,0.0%,100.0%
r8,96.7%,96.7%
r1,0.0%,53.3%
r30,43.3%,43.3%
r22,0.0%,9.5%
r26,26.7%,6.7%
r9,27.3%,4.5%
r14,2.2%,46.7%
r2,45.0%,30.0%
r20,0.0%,22.5%
r15,26.7%,26.7%
Total,24.6%,29.2%
