List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,100.0%
r10,40.0%,40.0%
r21,100.0%,0.0%
r34,42.9%,42.9%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,94.3%,48.6%
r6,91.4%,97.1%
r29,9.6%,9.6%
r3,6.7%,6.7%
r24,2.5%,10.0%
r32,100.0%,100.0%
r16,13.3%,40.0%
r28,100.0%,100.0%
r25,83.3%,0.0%
r23,11.1%,0.0%
r18,20.0%,16.7%
r11,2.2%,0.0%
r27,96.0%,96.0%
r5,55.0%,55.0%
r17,36.7%,20.0%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,70.0%
r30,36.7%,36.7%
r22,2.4%,7.1%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,60.0%,68.9%
r2,12.5%,55.0%
r20,75.0%,75.0%
r15,0.0%,83.3%
Total,41.5%,49.8%
