List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,73.3%
r10,40.0%,40.0%
r21,75.0%,0.0%
r34,22.9%,60.0%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,6.7%,23.3%
r13,54.3%,94.3%
r6,51.4%,51.4%
r29,100.0%,100.0%
r3,13.3%,20.0%
r24,25.0%,12.5%
r32,100.0%,100.0%
r16,50.0%,6.7%
r28,33.3%,57.8%
r25,6.7%,76.7%
r23,16.7%,5.6%
r18,13.3%,13.3%
r11,73.3%,73.3%
r27,96.0%,0.0%
r5,25.0%,25.0%
r17,3.3%,3.3%
r19,0.0%,0.0%
r8,43.3%,3.3%
r1,96.7%,20.0%
r30,33.3%,36.7%
r22,4.8%,4.8%
r26,0.0%,0.0%
r9,0.0%,95.5%
r14,37.8%,17.8%
r2,0.0%,95.0%
r20,0.0%,72.5%
r15,90.0%,0.0%
Total,41.2%,41.0%
