List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,100.0%,100.0%
r10,40.0%,40.0%
r21,75.0%,75.0%
r34,17.1%,14.3%
r4,10.0%,10.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,97.1%,97.1%
r29,100.0%,100.0%
r3,6.7%,6.7%
r24,7.5%,2.5%
r32,0.0%,0.0%
r16,46.7%,3.3%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,0.0%,33.3%
r18,3.3%,13.3%
r11,2.2%,2.2%
r27,96.0%,96.0%
r5,55.0%,55.0%
r17,36.7%,36.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,96.7%
r30,0.0%,3.3%
r22,26.2%,16.7%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,57.8%
r2,60.0%,32.5%
r20,0.0%,75.0%
r15,0.0%,0.0%
Total,40.8%,48.7%
