List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,40.0%,0.0%
r21,0.0%,25.0%
r34,57.1%,57.1%
r4,40.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,3.3%
r13,37.1%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,32.5%,35.0%
r32,100.0%,0.0%
r16,0.0%,0.0%
r28,33.3%,0.0%
r25,13.3%,6.7%
r23,0.0%,0.0%
r18,23.3%,26.7%
r11,15.6%,17.8%
r27,96.0%,0.0%
r5,27.5%,27.5%
r17,46.7%,6.7%
r19,0.0%,100.0%
r8,0.0%,83.3%
r1,60.0%,13.3%
r30,13.3%,6.7%
r22,14.3%,0.0%
r26,0.0%,33.3%
r9,0.0%,0.0%
r14,60.0%,35.6%
r2,0.0%,27.5%
r20,32.5%,32.5%
r15,13.3%,0.0%
Total,33.5%,26.3%
