List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,0.0%,60.0%
r4,20.0%,10.0%
r33,0.0%,85.7%
r12,40.0%,43.3%
r13,34.3%,8.6%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,6.7%
r24,27.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,40.0%,35.6%
r25,0.0%,46.7%
r23,0.0%,11.1%
r18,3.3%,20.0%
r11,6.7%,15.6%
r27,96.0%,0.0%
r5,5.0%,0.0%
r17,6.7%,60.0%
r19,100.0%,100.0%
r8,96.7%,83.3%
r1,70.0%,70.0%
r30,13.3%,36.7%
r22,16.7%,2.4%
r26,0.0%,53.3%
r9,0.0%,0.0%
r14,51.1%,31.1%
r2,5.0%,2.5%
r20,42.5%,42.5%
r15,26.7%,0.0%
Total,29.9%,32.4%
