List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,100.0%
r10,60.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,6.7%
r13,37.1%,34.3%
r6,97.1%,2.9%
r29,13.5%,13.5%
r3,73.3%,80.0%
r24,5.0%,32.5%
r32,100.0%,100.0%
r16,10.0%,0.0%
r28,24.4%,24.4%
r25,3.3%,10.0%
r23,0.0%,11.1%
r18,20.0%,10.0%
r11,4.4%,15.6%
r27,96.0%,96.0%
r5,25.0%,2.5%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,96.7%,93.3%
r1,70.0%,70.0%
r30,30.0%,13.3%
r22,0.0%,2.4%
r26,13.3%,6.7%
r9,0.0%,0.0%
r14,37.8%,48.9%
r2,2.5%,2.5%
r20,7.5%,17.5%
r15,0.0%,0.0%
Total,31.1%,30.1%
