List,gaussian_mixture,kmeans
r31,33.3%,0.0%
r7,0.0%,100.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,60.0%,68.6%
r4,20.0%,0.0%
r33,85.7%,100.0%
r12,36.7%,3.3%
r13,25.7%,37.1%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,0.0%,13.3%
r24,22.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,37.8%,37.8%
r25,30.0%,10.0%
r23,0.0%,0.0%
r18,3.3%,20.0%
r11,6.7%,4.4%
r27,96.0%,96.0%
r5,22.5%,7.5%
r17,0.0%,3.3%
r19,0.0%,100.0%
r8,96.7%,96.7%
r1,0.0%,53.3%
r30,40.0%,46.7%
r22,2.4%,2.4%
r26,0.0%,13.3%
r9,9.1%,0.0%
r14,46.7%,0.0%
r2,45.0%,0.0%
r20,40.0%,37.5%
r15,0.0%,26.7%
Total,31.7%,30.3%
