List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,100.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,36.7%
r13,5.7%,34.3%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,20.0%,22.5%
r32,100.0%,0.0%
r16,0.0%,0.0%
r28,24.4%,75.6%
r25,3.3%,3.3%
r23,0.0%,0.0%
r18,20.0%,3.3%
r11,24.4%,17.8%
r27,96.0%,96.0%
r5,2.5%,2.5%
r17,6.7%,0.0%
r19,0.0%,0.0%
r8,93.3%,0.0%
r1,0.0%,53.3%
r30,10.0%,26.7%
r22,2.4%,0.0%
r26,6.7%,53.3%
r9,0.0%,0.0%
r14,48.9%,51.1%
r2,47.5%,50.0%
r20,42.5%,52.5%
r15,26.7%,0.0%
Total,33.7%,34.6%
