List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,0.0%,100.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,48.6%,60.0%
r4,0.0%,0.0%
r33,100.0%,85.7%
r12,0.0%,6.7%
r13,28.6%,34.3%
r6,97.1%,0.0%
r29,13.5%,13.5%
r3,73.3%,6.7%
r24,10.0%,2.5%
r32,100.0%,100.0%
r16,80.0%,73.3%
r28,24.4%,24.4%
r25,40.0%,23.3%
r23,0.0%,0.0%
r18,20.0%,3.3%
r11,13.3%,8.9%
r27,96.0%,96.0%
r5,7.5%,5.0%
r17,0.0%,6.7%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,60.0%,16.7%
r30,10.0%,40.0%
r22,0.0%,14.3%
r26,20.0%,6.7%
r9,0.0%,0.0%
r14,53.3%,51.1%
r2,17.5%,35.0%
r20,22.5%,50.0%
r15,10.0%,26.7%
Total,30.3%,30.1%
