List,gaussian_mixture,kmeans
r31,50.0%,50.0%
r7,0.0%,0.0%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,31.4%,57.1%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,0.0%,20.0%
r13,11.4%,42.9%
r6,97.1%,97.1%
r29,0.0%,13.5%
r3,6.7%,0.0%
r24,22.5%,7.5%
r32,100.0%,100.0%
r16,3.3%,0.0%
r28,75.6%,33.3%
r25,10.0%,23.3%
r23,0.0%,0.0%
r18,26.7%,23.3%
r11,15.6%,11.1%
r27,96.0%,96.0%
r5,0.0%,25.0%
r17,6.7%,0.0%
r19,100.0%,0.0%
r8,96.7%,93.3%
r1,3.3%,70.0%
r30,6.7%,6.7%
r22,0.0%,14.3%
r26,0.0%,20.0%
r9,31.8%,0.0%
r14,2.2%,64.4%
r2,20.0%,17.5%
r20,65.0%,47.5%
r15,0.0%,0.0%
Total,30.5%,34.3%
