List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,0.0%
r13,8.6%,45.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,33.3%
r25,43.3%,3.3%
r23,0.0%,0.0%
r18,26.7%,30.0%
r11,13.3%,6.7%
r27,0.0%,96.0%
r5,7.5%,7.5%
r17,0.0%,50.0%
r19,100.0%,100.0%
r8,0.0%,90.0%
r1,16.7%,0.0%
r30,3.3%,33.3%
r22,2.4%,2.4%
r26,6.7%,33.3%
r9,13.6%,4.5%
r14,60.0%,64.4%
r2,17.5%,5.0%
r20,17.5%,47.5%
r15,6.7%,0.0%
Total,26.2%,33.6%
