List,gaussian_mixture,kmeans
r31,66.7%,16.7%
r7,0.0%,100.0%
r10,40.0%,40.0%
r21,0.0%,0.0%
r34,11.4%,57.1%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,10.0%,40.0%
r13,48.6%,45.7%
r6,97.1%,0.0%
r29,13.5%,86.5%
r3,73.3%,73.3%
r24,2.5%,7.5%
r32,0.0%,100.0%
r16,0.0%,6.7%
r28,24.4%,24.4%
r25,56.7%,6.7%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,2.2%,13.3%
r27,96.0%,96.0%
r5,5.0%,5.0%
r17,3.3%,0.0%
r19,0.0%,100.0%
r8,93.3%,93.3%
r1,53.3%,73.3%
r30,33.3%,13.3%
r22,2.4%,2.4%
r26,6.7%,0.0%
r9,0.0%,13.6%
r14,66.7%,0.0%
r2,17.5%,20.0%
r20,42.5%,35.0%
r15,26.7%,26.7%
Total,26.3%,36.3%
