List,gaussian_mixture,kmeans
r31,50.0%,16.7%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,25.0%,25.0%
r34,8.6%,14.3%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,13.3%,3.3%
r13,40.0%,57.1%
r6,97.1%,51.4%
r29,46.2%,86.5%
r3,20.0%,6.7%
r24,2.5%,15.0%
r32,0.0%,96.7%
r16,36.7%,36.7%
r28,75.6%,24.4%
r25,83.3%,83.3%
r23,22.2%,5.6%
r18,23.3%,23.3%
r11,24.4%,17.8%
r27,100.0%,4.0%
r5,12.5%,27.5%
r17,3.3%,23.3%
r19,0.0%,0.0%
r8,0.0%,3.3%
r1,70.0%,70.0%
r30,0.0%,13.3%
r22,2.4%,7.1%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,31.1%,31.1%
r2,30.0%,30.0%
r20,20.0%,27.5%
r15,20.0%,40.0%
Total,36.5%,37.4%
