List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,100.0%,100.0%
r10,40.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,2.9%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,20.0%,20.0%
r13,94.3%,94.3%
r6,97.1%,97.1%
r29,100.0%,100.0%
r3,20.0%,20.0%
r24,10.0%,5.0%
r32,0.0%,0.0%
r16,33.3%,13.3%
r28,100.0%,42.2%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,13.3%,13.3%
r11,73.3%,73.3%
r27,100.0%,4.0%
r5,55.0%,55.0%
r17,30.0%,23.3%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,0.0%,0.0%
r30,36.7%,0.0%
r22,9.5%,0.0%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,53.3%,60.0%
r2,60.0%,60.0%
r20,0.0%,20.0%
r15,0.0%,0.0%
Total,47.8%,43.3%
