List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,73.3%,26.7%
r10,0.0%,40.0%
r21,75.0%,75.0%
r34,2.9%,57.1%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,0.0%,94.3%
r29,0.0%,100.0%
r3,13.3%,6.7%
r24,5.0%,15.0%
r32,0.0%,0.0%
r16,23.3%,46.7%
r28,57.8%,57.8%
r25,83.3%,83.3%
r23,16.7%,11.1%
r18,23.3%,23.3%
r11,0.0%,73.3%
r27,96.0%,4.0%
r5,27.5%,2.5%
r17,36.7%,13.3%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,0.0%,96.7%
r30,0.0%,3.3%
r22,0.0%,23.8%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,60.0%,57.8%
r2,95.0%,62.5%
r20,20.0%,47.5%
r15,93.3%,0.0%
Total,38.2%,48.4%
