List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,100.0%,0.0%
r10,40.0%,20.0%
r21,0.0%,0.0%
r34,57.1%,0.0%
r4,10.0%,0.0%
r33,0.0%,0.0%
r12,0.0%,13.3%
r13,42.9%,42.9%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,80.0%,6.7%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,0.0%,24.4%
r25,13.3%,53.3%
r23,0.0%,0.0%
r18,26.7%,23.3%
r11,13.3%,13.3%
r27,96.0%,96.0%
r5,7.5%,0.0%
r17,53.3%,0.0%
r19,100.0%,100.0%
r8,96.7%,93.3%
r1,16.7%,60.0%
r30,0.0%,0.0%
r22,11.9%,4.8%
r26,26.7%,26.7%
r9,0.0%,31.8%
r14,60.0%,60.0%
r2,47.5%,20.0%
r20,50.0%,0.0%
r15,26.7%,26.7%
Total,31.9%,27.8%
