List,gaussian_mixture,kmeans
r31,83.3%,50.0%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,17.1%,54.3%
r4,0.0%,0.0%
r33,0.0%,0.0%
r12,6.7%,40.0%
r13,40.0%,42.9%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,5.0%,32.5%
r32,100.0%,100.0%
r16,6.7%,0.0%
r28,33.3%,42.2%
r25,50.0%,10.0%
r23,0.0%,0.0%
r18,26.7%,3.3%
r11,13.3%,11.1%
r27,96.0%,96.0%
r5,0.0%,27.5%
r17,3.3%,3.3%
r19,100.0%,0.0%
r8,83.3%,83.3%
r1,66.7%,20.0%
r30,13.3%,13.3%
r22,2.4%,2.4%
r26,13.3%,6.7%
r9,0.0%,27.3%
r14,37.8%,0.0%
r2,27.5%,0.0%
r20,32.5%,42.5%
r15,26.7%,26.7%
Total,30.0%,27.6%
