List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,100.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,14.3%,37.1%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,2.9%,40.0%
r6,97.1%,0.0%
r29,86.5%,13.5%
r3,0.0%,73.3%
r24,5.0%,5.0%
r32,100.0%,100.0%
r16,40.0%,53.3%
r28,42.2%,42.2%
r25,13.3%,26.7%
r23,5.6%,5.6%
r18,33.3%,23.3%
r11,20.0%,17.8%
r27,100.0%,100.0%
r5,15.0%,5.0%
r17,53.3%,6.7%
r19,0.0%,100.0%
r8,0.0%,0.0%
r1,70.0%,70.0%
r30,13.3%,50.0%
r22,14.3%,2.4%
r26,0.0%,26.7%
r9,0.0%,45.5%
r14,66.7%,57.8%
r2,30.0%,50.0%
r20,57.5%,17.5%
r15,0.0%,0.0%
Total,36.2%,36.3%
