List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,60.0%
r33,100.0%,100.0%
r12,0.0%,3.3%
r13,31.4%,45.7%
r6,97.1%,97.1%
r29,86.5%,13.5%
r3,80.0%,73.3%
r24,20.0%,2.5%
r32,0.0%,100.0%
r16,0.0%,0.0%
r28,0.0%,33.3%
r25,56.7%,30.0%
r23,0.0%,0.0%
r18,20.0%,3.3%
r11,13.3%,13.3%
r27,96.0%,96.0%
r5,5.0%,27.5%
r17,10.0%,0.0%
r19,0.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,0.0%
r30,3.3%,23.3%
r22,2.4%,2.4%
r26,0.0%,20.0%
r9,9.1%,22.7%
r14,62.2%,8.9%
r2,0.0%,17.5%
r20,2.5%,17.5%
r15,26.7%,0.0%
Total,29.4%,28.1%
