List,gaussian_mixture,kmeans
r31,66.7%,33.3%
r7,23.3%,76.7%
r10,40.0%,0.0%
r21,0.0%,100.0%
r34,37.1%,65.7%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,10.0%
r13,48.6%,40.0%
r6,91.4%,2.9%
r29,50.0%,90.4%
r3,6.7%,20.0%
r24,22.5%,20.0%
r32,100.0%,100.0%
r16,33.3%,33.3%
r28,42.2%,57.8%
r25,3.3%,83.3%
r23,16.7%,16.7%
r18,6.7%,10.0%
r11,42.2%,24.4%
r27,96.0%,100.0%
r5,25.0%,15.0%
r17,13.3%,6.7%
r19,0.0%,0.0%
r8,3.3%,3.3%
r1,70.0%,70.0%
r30,3.3%,0.0%
r22,16.7%,16.7%
r26,0.0%,40.0%
r9,0.0%,100.0%
r14,44.4%,51.1%
r2,55.0%,55.0%
r20,47.5%,75.0%
r15,0.0%,80.0%
Total,37.2%,46.5%
