List,gaussian_mixture,kmeans
r31,0.0%,33.3%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,0.0%,100.0%
r34,28.6%,31.4%
r4,10.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,0.0%
r13,42.9%,45.7%
r6,97.1%,94.3%
r29,44.2%,42.3%
r3,6.7%,6.7%
r24,15.0%,12.5%
r32,100.0%,0.0%
r16,33.3%,16.7%
r28,75.6%,57.8%
r25,83.3%,83.3%
r23,5.6%,16.7%
r18,20.0%,10.0%
r11,22.2%,48.9%
r27,100.0%,96.0%
r5,20.0%,22.5%
r17,6.7%,33.3%
r19,0.0%,0.0%
r8,0.0%,6.7%
r1,63.3%,66.7%
r30,16.7%,0.0%
r22,4.8%,2.4%
r26,40.0%,60.0%
r9,0.0%,0.0%
r14,48.9%,22.2%
r2,50.0%,30.0%
r20,20.0%,20.0%
r15,26.7%,30.0%
Total,40.2%,32.0%
