List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,60.0%,60.0%
r21,75.0%,75.0%
r34,8.6%,2.9%
r4,20.0%,10.0%
r33,100.0%,0.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,0.0%,0.0%
r29,100.0%,100.0%
r3,26.7%,6.7%
r24,7.5%,10.0%
r32,0.0%,0.0%
r16,3.3%,46.7%
r28,57.8%,100.0%
r25,83.3%,83.3%
r23,27.8%,5.6%
r18,16.7%,13.3%
r11,73.3%,2.2%
r27,96.0%,4.0%
r5,25.0%,55.0%
r17,46.7%,36.7%
r19,0.0%,100.0%
r8,3.3%,80.0%
r1,16.7%,0.0%
r30,3.3%,20.0%
r22,9.5%,4.8%
r26,40.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,8.9%
r2,60.0%,60.0%
r20,0.0%,47.5%
r15,0.0%,0.0%
Total,38.7%,38.7%
