List,gaussian_mixture,kmeans
r31,50.0%,33.3%
r7,0.0%,0.0%
r10,20.0%,20.0%
r21,0.0%,0.0%
r34,31.4%,31.4%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,36.7%,43.3%
r13,31.4%,34.3%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,0.0%,80.0%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,0.0%,66.7%
r28,24.4%,37.8%
r25,13.3%,3.3%
r23,0.0%,5.6%
r18,10.0%,33.3%
r11,15.6%,4.4%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,3.3%
r19,100.0%,100.0%
r8,96.7%,0.0%
r1,0.0%,70.0%
r30,10.0%,10.0%
r22,2.4%,4.8%
r26,13.3%,6.7%
r9,4.5%,18.2%
r14,44.4%,22.2%
r2,30.0%,2.5%
r20,40.0%,25.0%
r15,0.0%,26.7%
Total,29.4%,31.1%
