List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,0.0%
r21,25.0%,75.0%
r34,2.9%,0.0%
r4,10.0%,0.0%
r33,100.0%,0.0%
r12,16.7%,40.0%
r13,0.0%,17.1%
r6,40.0%,91.4%
r29,100.0%,86.5%
r3,13.3%,6.7%
r24,2.5%,5.0%
r32,100.0%,100.0%
r16,43.3%,46.7%
r28,42.2%,57.8%
r25,6.7%,83.3%
r23,38.9%,33.3%
r18,20.0%,16.7%
r11,31.1%,73.3%
r27,100.0%,96.0%
r5,30.0%,25.0%
r17,6.7%,33.3%
r19,0.0%,0.0%
r8,0.0%,83.3%
r1,0.0%,70.0%
r30,30.0%,10.0%
r22,14.3%,11.9%
r26,40.0%,40.0%
r9,100.0%,68.2%
r14,62.2%,6.7%
r2,47.5%,95.0%
r20,20.0%,20.0%
r15,30.0%,30.0%
Total,37.3%,44.3%
