List,gaussian_mixture,kmeans
r31,16.7%,16.7%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,22.9%,37.1%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,13.3%
r13,40.0%,60.0%
r6,31.4%,37.1%
r29,32.7%,40.4%
r3,13.3%,6.7%
r24,5.0%,15.0%
r32,96.7%,96.7%
r16,13.3%,40.0%
r28,24.4%,24.4%
r25,83.3%,83.3%
r23,5.6%,22.2%
r18,3.3%,6.7%
r11,31.1%,17.8%
r27,100.0%,100.0%
r5,5.0%,10.0%
r17,6.7%,3.3%
r19,0.0%,0.0%
r8,3.3%,83.3%
r1,70.0%,70.0%
r30,3.3%,20.0%
r22,19.0%,21.4%
r26,60.0%,60.0%
r9,0.0%,0.0%
r14,55.6%,55.6%
r2,30.0%,25.0%
r20,27.5%,0.0%
r15,6.7%,13.3%
Total,33.0%,36.9%
