List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,0.0%,0.0%
r10,0.0%,40.0%
r21,25.0%,75.0%
r34,60.0%,62.9%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,10.0%,0.0%
r13,34.3%,17.1%
r6,2.9%,97.1%
r29,13.5%,13.5%
r3,13.3%,0.0%
r24,7.5%,2.5%
r32,100.0%,100.0%
r16,6.7%,0.0%
r28,37.8%,24.4%
r25,3.3%,40.0%
r23,0.0%,0.0%
r18,16.7%,10.0%
r11,22.2%,15.6%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,0.0%,6.7%
r19,0.0%,100.0%
r8,96.7%,0.0%
r1,70.0%,10.0%
r30,36.7%,33.3%
r22,0.0%,9.5%
r26,6.7%,0.0%
r9,13.6%,0.0%
r14,48.9%,20.0%
r2,42.5%,40.0%
r20,32.5%,17.5%
r15,26.7%,0.0%
Total,30.0%,26.8%
