List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,100.0%,0.0%
r34,34.3%,34.3%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,10.0%,40.0%
r13,40.0%,48.6%
r6,97.1%,74.3%
r29,3.8%,32.7%
r3,13.3%,6.7%
r24,15.0%,17.5%
r32,96.7%,96.7%
r16,30.0%,33.3%
r28,100.0%,42.2%
r25,83.3%,83.3%
r23,5.6%,11.1%
r18,20.0%,23.3%
r11,31.1%,22.2%
r27,96.0%,100.0%
r5,42.5%,22.5%
r17,6.7%,3.3%
r19,0.0%,0.0%
r8,3.3%,80.0%
r1,0.0%,0.0%
r30,16.7%,3.3%
r22,9.5%,2.4%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,48.9%,11.1%
r2,12.5%,30.0%
r20,47.5%,75.0%
r15,66.7%,66.7%
Total,41.1%,40.9%
