List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,23.3%,76.7%
r10,60.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,14.3%
r4,20.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,91.4%,97.1%
r29,100.0%,100.0%
r3,26.7%,13.3%
r24,15.0%,2.5%
r32,0.0%,0.0%
r16,46.7%,3.3%
r28,100.0%,57.8%
r25,83.3%,83.3%
r23,11.1%,16.7%
r18,20.0%,20.0%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,25.0%,5.0%
r17,36.7%,36.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,0.0%,0.0%
r30,0.0%,3.3%
r22,11.9%,9.5%
r26,60.0%,60.0%
r9,0.0%,100.0%
r14,40.0%,0.0%
r2,32.5%,60.0%
r20,75.0%,20.0%
r15,0.0%,0.0%
Total,43.1%,42.6%
