List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,80.0%
r21,100.0%,0.0%
r34,80.0%,74.3%
r4,10.0%,10.0%
r33,0.0%,0.0%
r12,13.3%,40.0%
r13,94.3%,42.9%
r6,97.1%,97.1%
r29,50.0%,3.8%
r3,6.7%,6.7%
r24,7.5%,15.0%
r32,100.0%,100.0%
r16,23.3%,0.0%
r28,57.8%,57.8%
r25,83.3%,6.7%
r23,5.6%,16.7%
r18,33.3%,30.0%
r11,24.4%,48.9%
r27,100.0%,100.0%
r5,5.0%,15.0%
r17,13.3%,40.0%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,14.3%,14.3%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,55.6%,53.3%
r2,32.5%,65.0%
r20,27.5%,0.0%
r15,83.3%,0.0%
Total,43.4%,38.9%
