List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,20.0%,25.7%
r4,20.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,42.9%,40.0%
r6,74.3%,74.3%
r29,32.7%,32.7%
r3,0.0%,20.0%
r24,2.5%,7.5%
r32,96.7%,96.7%
r16,36.7%,30.0%
r28,42.2%,42.2%
r25,83.3%,3.3%
r23,5.6%,11.1%
r18,23.3%,3.3%
r11,22.2%,17.8%
r27,0.0%,4.0%
r5,42.5%,42.5%
r17,6.7%,6.7%
r19,0.0%,0.0%
r8,80.0%,3.3%
r1,70.0%,70.0%
r30,23.3%,20.0%
r22,2.4%,2.4%
r26,60.0%,0.0%
r9,100.0%,100.0%
r14,42.2%,15.6%
r2,45.0%,30.0%
r20,20.0%,20.0%
r15,6.7%,66.7%
Total,39.1%,32.9%
