List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,100.0%,100.0%
r10,40.0%,40.0%
r21,100.0%,0.0%
r34,11.4%,8.6%
r4,10.0%,10.0%
r33,0.0%,0.0%
r12,3.3%,40.0%
r13,94.3%,94.3%
r6,2.9%,0.0%
r29,100.0%,90.4%
r3,13.3%,20.0%
r24,10.0%,17.5%
r32,0.0%,0.0%
r16,50.0%,46.7%
r28,42.2%,42.2%
r25,83.3%,83.3%
r23,16.7%,5.6%
r18,13.3%,20.0%
r11,73.3%,22.2%
r27,100.0%,96.0%
r5,55.0%,25.0%
r17,13.3%,6.7%
r19,0.0%,0.0%
r8,80.0%,10.0%
r1,0.0%,0.0%
r30,0.0%,23.3%
r22,2.4%,14.3%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,53.3%,57.8%
r2,32.5%,60.0%
r20,0.0%,75.0%
r15,0.0%,0.0%
Total,38.1%,37.3%
