List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,76.7%,76.7%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,80.0%,14.3%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,14.3%,54.3%
r6,97.1%,5.7%
r29,100.0%,100.0%
r3,13.3%,6.7%
r24,10.0%,7.5%
r32,96.7%,96.7%
r16,43.3%,50.0%
r28,42.2%,42.2%
r25,6.7%,3.3%
r23,38.9%,11.1%
r18,20.0%,33.3%
r11,73.3%,73.3%
r27,100.0%,100.0%
r5,55.0%,42.5%
r17,46.7%,43.3%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,3.3%
r22,11.9%,19.0%
r26,40.0%,40.0%
r9,100.0%,0.0%
r14,62.2%,62.2%
r2,32.5%,62.5%
r20,42.5%,62.5%
r15,0.0%,0.0%
Total,47.7%,45.8%
