List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,26.7%,73.3%
r10,40.0%,40.0%
r21,100.0%,0.0%
r34,22.9%,60.0%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,6.7%,40.0%
r13,94.3%,94.3%
r6,51.4%,51.4%
r29,100.0%,11.5%
r3,13.3%,6.7%
r24,10.0%,15.0%
r32,100.0%,100.0%
r16,6.7%,0.0%
r28,33.3%,33.3%
r25,76.7%,0.0%
r23,5.6%,16.7%
r18,6.7%,16.7%
r11,73.3%,73.3%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,3.3%,36.7%
r19,0.0%,0.0%
r8,80.0%,80.0%
r1,73.3%,73.3%
r30,3.3%,0.0%
r22,11.9%,2.4%
r26,40.0%,0.0%
r9,95.5%,95.5%
r14,26.7%,11.1%
r2,95.0%,60.0%
r20,5.0%,70.0%
r15,56.7%,70.0%
Total,46.2%,43.4%
