List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,0.0%,0.0%
r10,20.0%,40.0%
r21,0.0%,0.0%
r34,5.7%,68.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,3.3%
r13,34.3%,5.7%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,6.7%
r24,2.5%,2.5%
r32,100.0%,100.0%
r16,70.0%,0.0%
r28,33.3%,33.3%
r25,10.0%,40.0%
r23,11.1%,0.0%
r18,10.0%,3.3%
r11,17.8%,20.0%
r27,96.0%,96.0%
r5,27.5%,7.5%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,93.3%
r1,70.0%,66.7%
r30,13.3%,43.3%
r22,2.4%,11.9%
r26,0.0%,26.7%
r9,18.2%,0.0%
r14,64.4%,2.2%
r2,17.5%,40.0%
r20,40.0%,30.0%
r15,0.0%,26.7%
Total,30.6%,30.8%
