List,gaussian_mixture,kmeans
r31,16.7%,66.7%
r7,0.0%,100.0%
r10,60.0%,0.0%
r21,0.0%,0.0%
r34,57.1%,37.1%
r4,20.0%,10.0%
r33,100.0%,0.0%
r12,43.3%,40.0%
r13,8.6%,51.4%
r6,97.1%,45.7%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,27.5%,20.0%
r32,100.0%,0.0%
r16,23.3%,0.0%
r28,24.4%,0.0%
r25,3.3%,20.0%
r23,0.0%,0.0%
r18,30.0%,3.3%
r11,13.3%,33.3%
r27,96.0%,96.0%
r5,25.0%,35.0%
r17,50.0%,20.0%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,73.3%,0.0%
r30,0.0%,46.7%
r22,2.4%,2.4%
r26,20.0%,0.0%
r9,0.0%,4.5%
r14,64.4%,60.0%
r2,45.0%,42.5%
r20,45.0%,47.5%
r15,26.7%,0.0%
Total,39.7%,28.2%
