List,gaussian_mixture,kmeans
r31,33.3%,66.7%
r7,73.3%,76.7%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,60.0%,48.6%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,0.0%
r13,45.7%,17.1%
r6,45.7%,71.4%
r29,5.8%,5.8%
r3,13.3%,6.7%
r24,2.5%,2.5%
r32,100.0%,96.7%
r16,53.3%,53.3%
r28,24.4%,57.8%
r25,80.0%,3.3%
r23,11.1%,0.0%
r18,23.3%,23.3%
r11,31.1%,48.9%
r27,4.0%,4.0%
r5,42.5%,45.0%
r17,23.3%,3.3%
r19,100.0%,0.0%
r8,80.0%,3.3%
r1,70.0%,70.0%
r30,3.3%,23.3%
r22,21.4%,7.1%
r26,40.0%,40.0%
r9,0.0%,100.0%
r14,51.1%,48.9%
r2,42.5%,52.5%
r20,20.0%,20.0%
r15,83.3%,6.7%
Total,41.2%,34.9%
