List,gaussian_mixture,kmeans
r31,0.0%,16.7%
r7,26.7%,73.3%
r10,40.0%,40.0%
r21,100.0%,75.0%
r34,0.0%,0.0%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,26.7%,30.0%
r13,94.3%,94.3%
r6,94.3%,37.1%
r29,0.0%,100.0%
r3,13.3%,13.3%
r24,5.0%,12.5%
r32,0.0%,0.0%
r16,43.3%,43.3%
r28,42.2%,42.2%
r25,80.0%,6.7%
r23,0.0%,5.6%
r18,20.0%,33.3%
r11,73.3%,22.2%
r27,96.0%,100.0%
r5,50.0%,5.0%
r17,23.3%,6.7%
r19,0.0%,0.0%
r8,0.0%,80.0%
r1,96.7%,96.7%
r30,16.7%,3.3%
r22,2.4%,23.8%
r26,0.0%,0.0%
r9,100.0%,0.0%
r14,55.6%,66.7%
r2,32.5%,62.5%
r20,0.0%,72.5%
r15,93.3%,93.3%
Total,40.0%,44.1%
