List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,23.3%
r10,0.0%,20.0%
r21,75.0%,75.0%
r34,80.0%,74.3%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,0.0%,40.0%
r13,40.0%,48.6%
r6,0.0%,0.0%
r29,90.4%,90.4%
r3,6.7%,13.3%
r24,12.5%,15.0%
r32,100.0%,100.0%
r16,36.7%,46.7%
r28,0.0%,42.2%
r25,83.3%,83.3%
r23,5.6%,5.6%
r18,13.3%,3.3%
r11,73.3%,22.2%
r27,100.0%,0.0%
r5,45.0%,12.5%
r17,3.3%,10.0%
r19,0.0%,0.0%
r8,83.3%,80.0%
r1,70.0%,70.0%
r30,16.7%,10.0%
r22,11.9%,4.8%
r26,40.0%,40.0%
r9,100.0%,0.0%
r14,51.1%,17.8%
r2,35.0%,65.0%
r20,75.0%,75.0%
r15,0.0%,83.3%
Total,42.4%,41.2%
