List,gaussian_mixture,kmeans
r31,16.7%,33.3%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,48.6%,5.7%
r4,60.0%,0.0%
r33,100.0%,0.0%
r12,40.0%,6.7%
r13,40.0%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,7.5%,2.5%
r32,100.0%,0.0%
r16,6.7%,0.0%
r28,33.3%,42.2%
r25,3.3%,20.0%
r23,5.6%,0.0%
r18,23.3%,23.3%
r11,20.0%,17.8%
r27,96.0%,96.0%
r5,27.5%,5.0%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,0.0%,83.3%
r1,43.3%,20.0%
r30,13.3%,30.0%
r22,0.0%,4.8%
r26,6.7%,6.7%
r9,0.0%,36.4%
r14,35.6%,0.0%
r2,20.0%,50.0%
r20,45.0%,55.0%
r15,6.7%,26.7%
Total,31.9%,24.0%
