List,gaussian_mixture,kmeans
r31,50.0%,0.0%
r7,73.3%,0.0%
r10,20.0%,0.0%
r21,75.0%,0.0%
r34,57.1%,57.1%
r4,0.0%,30.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,42.9%,34.3%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,0.0%
r24,2.5%,10.0%
r32,100.0%,100.0%
r16,30.0%,60.0%
r28,75.6%,75.6%
r25,23.3%,13.3%
r23,0.0%,0.0%
r18,20.0%,23.3%
r11,2.2%,8.9%
r27,96.0%,96.0%
r5,12.5%,2.5%
r17,0.0%,0.0%
r19,100.0%,0.0%
r8,0.0%,96.7%
r1,0.0%,6.7%
r30,13.3%,20.0%
r22,31.0%,9.5%
r26,6.7%,26.7%
r9,0.0%,4.5%
r14,35.6%,44.4%
r2,20.0%,45.0%
r20,17.5%,50.0%
r15,26.7%,26.7%
Total,34.6%,36.1%
