List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,100.0%,100.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,0.0%,57.1%
r4,10.0%,0.0%
r33,0.0%,100.0%
r12,40.0%,10.0%
r13,40.0%,17.1%
r6,0.0%,0.0%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,27.5%,15.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,33.3%
r25,36.7%,23.3%
r23,5.6%,0.0%
r18,26.7%,23.3%
r11,13.3%,13.3%
r27,96.0%,96.0%
r5,5.0%,25.0%
r17,53.3%,53.3%
r19,100.0%,100.0%
r8,93.3%,0.0%
r1,0.0%,0.0%
r30,6.7%,3.3%
r22,0.0%,2.4%
r26,40.0%,6.7%
r9,36.4%,18.2%
r14,62.2%,0.0%
r2,50.0%,20.0%
r20,20.0%,20.0%
r15,0.0%,0.0%
Total,31.7%,27.8%
