List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,23.3%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,37.1%,68.6%
r4,10.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,20.0%
r13,94.3%,40.0%
r6,97.1%,97.1%
r29,9.6%,90.4%
r3,0.0%,6.7%
r24,12.5%,15.0%
r32,100.0%,100.0%
r16,53.3%,40.0%
r28,24.4%,0.0%
r25,83.3%,83.3%
r23,11.1%,5.6%
r18,33.3%,16.7%
r11,22.2%,22.2%
r27,96.0%,96.0%
r5,25.0%,25.0%
r17,13.3%,13.3%
r19,0.0%,0.0%
r8,3.3%,0.0%
r1,70.0%,70.0%
r30,0.0%,23.3%
r22,4.8%,21.4%
r26,40.0%,40.0%
r9,100.0%,100.0%
r14,51.1%,8.9%
r2,55.0%,42.5%
r20,75.0%,75.0%
r15,16.7%,0.0%
Total,44.1%,41.7%
