List,gaussian_mixture,kmeans
r31,33.3%,50.0%
r7,100.0%,0.0%
r10,0.0%,40.0%
r21,0.0%,0.0%
r34,28.6%,54.3%
r4,0.0%,10.0%
r33,0.0%,100.0%
r12,6.7%,30.0%
r13,37.1%,8.6%
r6,0.0%,97.1%
r29,13.5%,13.5%
r3,73.3%,73.3%
r24,5.0%,35.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,33.3%,33.3%
r25,10.0%,26.7%
r23,0.0%,0.0%
r18,23.3%,23.3%
r11,24.4%,20.0%
r27,0.0%,96.0%
r5,5.0%,27.5%
r17,6.7%,3.3%
r19,100.0%,0.0%
r8,83.3%,0.0%
r1,43.3%,20.0%
r30,20.0%,36.7%
r22,4.8%,2.4%
r26,13.3%,0.0%
r9,9.1%,31.8%
r14,57.8%,0.0%
r2,20.0%,15.0%
r20,27.5%,47.5%
r15,26.7%,26.7%
Total,26.7%,30.1%
