List,gaussian_mixture,kmeans
r31,33.3%,33.3%
r7,0.0%,0.0%
r10,0.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,22.9%
r4,0.0%,0.0%
r33,85.7%,14.3%
r12,16.7%,43.3%
r13,37.1%,42.9%
r6,97.1%,97.1%
r29,13.5%,86.5%
r3,6.7%,0.0%
r24,2.5%,17.5%
r32,0.0%,0.0%
r16,43.3%,0.0%
r28,24.4%,24.4%
r25,23.3%,10.0%
r23,0.0%,0.0%
r18,20.0%,20.0%
r11,15.6%,4.4%
r27,96.0%,96.0%
r5,5.0%,2.5%
r17,0.0%,0.0%
r19,100.0%,100.0%
r8,0.0%,93.3%
r1,76.7%,60.0%
r30,40.0%,13.3%
r22,7.1%,0.0%
r26,6.7%,13.3%
r9,4.5%,27.3%
r14,60.0%,2.2%
r2,45.0%,45.0%
r20,7.5%,45.0%
r15,0.0%,26.7%
Total,27.9%,29.6%
