List,gaussian_mixture,kmeans
r31,50.0%,16.7%
r7,0.0%,0.0%
r10,0.0%,20.0%
r21,25.0%,0.0%
r34,57.1%,54.3%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,5.7%,5.7%
r6,97.1%,97.1%
r29,86.5%,13.5%
r3,6.7%,73.3%
r24,30.0%,7.5%
r32,100.0%,100.0%
r16,0.0%,3.3%
r28,42.2%,33.3%
r25,13.3%,13.3%
r23,0.0%,11.1%
r18,26.7%,26.7%
r11,15.6%,20.0%
r27,96.0%,0.0%
r5,62.5%,27.5%
r17,20.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,83.3%
r1,26.7%,50.0%
r30,6.7%,13.3%
r22,0.0%,19.0%
r26,20.0%,20.0%
r9,0.0%,0.0%
r14,35.6%,62.2%
r2,0.0%,2.5%
r20,30.0%,37.5%
r15,0.0%,0.0%
Total,31.9%,30.4%
