List,gaussian_mixture,kmeans
r31,0.0%,50.0%
r7,76.7%,76.7%
r10,20.0%,40.0%
r21,100.0%,0.0%
r34,34.3%,11.4%
r4,20.0%,10.0%
r33,100.0%,100.0%
r12,3.3%,40.0%
r13,40.0%,40.0%
r6,71.4%,71.4%
r29,36.5%,36.5%
r3,6.7%,20.0%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,36.7%,36.7%
r28,75.6%,33.3%
r25,83.3%,6.7%
r23,5.6%,5.6%
r18,23.3%,23.3%
r11,48.9%,24.4%
r27,4.0%,96.0%
r5,22.5%,40.0%
r17,10.0%,6.7%
r19,100.0%,0.0%
r8,3.3%,80.0%
r1,70.0%,70.0%
r30,3.3%,30.0%
r22,2.4%,4.8%
r26,0.0%,60.0%
r9,100.0%,100.0%
r14,51.1%,4.4%
r2,30.0%,45.0%
r20,47.5%,20.0%
r15,66.7%,43.3%
Total,42.6%,39.3%
