List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,23.3%,76.7%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,14.3%,14.3%
r4,10.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,94.3%,94.3%
r6,91.4%,91.4%
r29,100.0%,0.0%
r3,6.7%,6.7%
r24,12.5%,7.5%
r32,0.0%,0.0%
r16,3.3%,46.7%
r28,0.0%,57.8%
r25,6.7%,6.7%
r23,5.6%,5.6%
r18,20.0%,6.7%
r11,73.3%,73.3%
r27,100.0%,100.0%
r5,55.0%,55.0%
r17,40.0%,20.0%
r19,0.0%,0.0%
r8,83.3%,83.3%
r1,0.0%,0.0%
r30,6.7%,0.0%
r22,4.8%,14.3%
r26,60.0%,60.0%
r9,100.0%,100.0%
r14,46.7%,0.0%
r2,32.5%,0.0%
r20,0.0%,20.0%
r15,0.0%,0.0%
Total,38.6%,35.2%
