List,gaussian_mixture,kmeans
r31,16.7%,0.0%
r7,23.3%,76.7%
r10,20.0%,20.0%
r21,75.0%,0.0%
r34,34.3%,17.1%
r4,0.0%,10.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,40.0%,5.7%
r6,88.6%,88.6%
r29,46.2%,46.2%
r3,6.7%,0.0%
r24,15.0%,15.0%
r32,96.7%,96.7%
r16,40.0%,36.7%
r28,100.0%,100.0%
r25,6.7%,6.7%
r23,27.8%,11.1%
r18,26.7%,23.3%
r11,22.2%,22.2%
r27,96.0%,100.0%
r5,7.5%,42.5%
r17,20.0%,6.7%
r19,0.0%,0.0%
r8,83.3%,3.3%
r1,16.7%,70.0%
r30,10.0%,26.7%
r22,11.9%,4.8%
r26,60.0%,40.0%
r9,100.0%,100.0%
r14,42.2%,20.0%
r2,45.0%,30.0%
r20,5.0%,75.0%
r15,0.0%,0.0%
Total,40.2%,40.2%
