List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,76.7%
r10,0.0%,20.0%
r21,75.0%,100.0%
r34,20.0%,28.6%
r4,20.0%,20.0%
r33,100.0%,100.0%
r12,40.0%,6.7%
r13,40.0%,40.0%
r6,20.0%,40.0%
r29,38.5%,36.5%
r3,6.7%,6.7%
r24,15.0%,15.0%
r32,0.0%,96.7%
r16,26.7%,33.3%
r28,75.6%,75.6%
r25,0.0%,0.0%
r23,11.1%,5.6%
r18,3.3%,10.0%
r11,48.9%,22.2%
r27,96.0%,4.0%
r5,25.0%,12.5%
r17,3.3%,6.7%
r19,0.0%,100.0%
r8,86.7%,3.3%
r1,70.0%,70.0%
r30,23.3%,3.3%
r22,2.4%,2.4%
r26,0.0%,60.0%
r9,100.0%,0.0%
r14,37.8%,37.8%
r2,45.0%,25.0%
r20,20.0%,47.5%
r15,46.7%,80.0%
Total,36.9%,35.0%
